OTU	Species	HF	HIHI	HINO	LOLO	LONO	NOHI	NOLO	NONO
Otu0050	Parvibacter_caecicola	0.418	0.154	0.09	0.147	0.156	0.117	0.23	0.312
Otu0051	Anaerobium_acetethylicum	0	0.131	0.904	0.508	0	0.105	0.003	0
Otu0052	Faecalicatena_orotica	0.838	0.407	0.401	0.167	0.081	0.225	0.049	0.049
Otu0055	X.Clostridium._xylanolyticum	0.658	0.529	0.132	0.063	0.019	0.197	0.098	0.06
Otu0059	Clostridia_unclassified	0.221	0.206	0.252	0.246	0.283	0.226	0.193	0.242
Otu0062	X.Clostridium._cocleatum	0.582	0.109	0.049	0.046	0.012	0.038	0.18	0.168
Otu0069	Staphylococcus_saprophyticus	0.02	0.017	0.888	0.002	0.007	0.001	0.006	0.001
Otu0070	Roseburia_intestinalis	0.924	0	0.022	0.12	0.028	0.08	0.101	0.3
Otu0073	Eubacterium_unclassified	0.171	0.114	0.056	0.136	0.1	0.125	0.345	0.248
Otu0074	Lachnospiracea_incertae_sedis	0.367	0.369	0.232	0.305	0.456	0.264	0.079	0.085
Otu0076	Acutalibacter_muris	0.406	0.08	0.091	0.089	0.073	0.183	0.109	0.129
Otu0078	Adlercreutzia_equolifaciens	0.327	0.101	0.153	0.07	0.055	0.059	0.084	0.048
Otu0080	Bacillus_haynesii	0.019	0	0.002	0.001	0.002	0.001	0.003	0.005
Otu0082	Enterococcus_avium	0.052	0.003	0.389	0.006	0.062	0.005	0	0.003
Otu0085	Klebsiella_aerogenes	0.012	0.001	0.002	0.009	0.008	0.003	0.001	0.001
Otu0090	Anaerotignum_lactatifermentans	0.111	0.177	0.145	0.137	0.103	0.134	0.071	0.091
Otu0093	Acetanaerobacterium_unclassified	0.048	0.184	0.054	0.095	0.148	0.138	0.057	0.094
Otu0095	Pseudoflavonifractor_unclassified	0.376	0.062	0	0.064	0.046	0.301	0	0
Otu0097	Firmicutes_unclassified	0.184	0.195	0.135	0.158	0.153	0.21	0.066	0.071
Otu0107	Coriobacteriaceae_unclassified	0.028	0.068	0.11	0.05	0.133	0.118	0.084	0.08
Otu0112	Johnsonella_unclassified	0.003	0.169	0.203	0.104	0.131	0.069	0.011	0.001
Otu0117	Lachnoclostridium_pacaense	0.02	0.081	0.082	0.06	0.124	0.049	0.091	0.063
Otu0120	Dorea_unclassified	0.048	0.106	0.069	0.068	0.074	0.118	0.027	0.016
Otu0123	Butyricicoccus_unclassified	0.101	0.046	0.093	0.09	0.08	0.071	0.025	0.036
Otu0130	Bacteria_unclassified	0.037	0.119	0.192	0.132	0.234	0.139	0.073	0.07
Otu0143	Acetatifactor_muris	0.008	0.067	0.025	0.027	0.027	0.063	0.025	0.026
Otu0145	Clostridium_XlVb	0	0	0.159	0.026	0.083	0.006	0.002	0.007
Otu0154	Neglecta_timonensis	0.033	0.011	0.02	0.043	0.018	0.041	0.013	0.013
Otu0164	Sporosarcina_pasteurii	0.018	0.002	0.047	0.001	0.022	0.011	0.031	0.014
Otu0167	Lysinibacillus_boronitolerans	0	0	0.185	0.001	0.001	0.001	0.003	0
Otu0169	Longibaculum_muris	0.023	0.002	0.018	0.032	0.018	0	0.061	0.043
Otu0192	Ihubacter_massiliensis	0.006	0.003	0.001	0.007	0.003	0.008	0.06	0.049
Otu0209	Anaerotruncus_colihominis	0.034	0.008	0.006	0.009	0.009	0.014	0.006	0.007
Otu0214	Ruthenibacterium_lactatiformans	0	0.001	0.002	0.005	0.007	0.001	0.101	0.003
Otu0218	X.Clostridium._viride	0.004	0.002	0.013	0.01	0.009	0.012	0.016	0.01
Otu0222	Turicibacter_sanguinis	0.004	0	0.001	0.002	0	0.059	0	0
Otu0223	Bacteroidetes_unclassified	0.003	0.009	0.013	0.007	0.006	0.01	0.005	0.004
Otu0224	X.Clostridium._saccharolyticum	0.003	0.01	0.005	0.004	0.019	0.007	0.005	0.004
Otu0225	Intestinimonas_butyriciproducens	0.002	0.008	0.009	0.011	0.005	0.01	0.017	0.025
Otu0230	Harryflintia_acetispora	0.01	0.006	0.014	0.009	0.009	0.007	0.004	0.006
