Pool,Sex,Treament,SexTreat,IFNy,IL10,IL12p70,IL1B,IL2,IL4,IL5,IL6,KC/GRO,TNFa,IL15,IL17AF,IL27p28/IL30,IL33,IL9,IP10,MCP1,MIP1a,MIP2,WeightRate,il10,tnfa,il6,il1b,iNOS,foxp3,Ferm,Roast
"8, 6",Female,LO/NO,11,5.207408,28.99398,0,0.4652368,1.508034,0.1291829,10.32708,20.96393,79.96556,20.28347,52.9590301,0,4.264683,1.33528,0,49.35077,6.685886,0.9397224,10.47777,0.892,2.071498359,0.228135539,0.456053675,0.61741499,0.633112385,0.505225723,LO,NO
"9, 2",Female,LO/NO,11,5.12657,26.75621,0,0.2486475,1.767011,0.1120844,9.859891,19.84609,91.3127,19.1454,37.48236394,0.022071807,4.063335,1.234287,0,51.91009,6.483717,0.9509858,10.70773,1.45675,3.0159993,0.328701341,0.411339586,0.490965833,0.6224567,,LO,NO
"5, 1",Female,LO/NO,11,5.149429,28.2461,0,0.3582336,2.024844,0.1481891,11.22444,22.24067,83.49548,19.97984,37.71929167,0,3.955948,1.262529,0,49.20953,6.458325,0.9411372,10.27574,0.886583333,2.265297618,0.265822105,0.206949573,0.645480334,0.716451372,,LO,NO
"11, 1",Female,HI/NO,12,5.040013,36.72232,1.627216027,0.2042236,2.057083,0.1386699,10.10211,11.84825,112.7107,17.37713,29.86914428,0,2.492235,1.614195,0,45.53494,6.85265,1.489517,12.22244,1.75225,2.102135243,0.31282302,0.45412207,0.658809364,0.822985652,0.420593949,HI,NO
"9, 4",Female,HI/NO,12,5.097174,37.32339,0,0.2413668,2.355246,0.07044446,10.5131,12.6791,115.5004,17.95936,33.62742099,0,2.613126,1.812515,0,45.60248,6.960757,1.471361,12.19676,1.324666667,2.157448455,0.342380423,0.631486906,0.694564634,0.948133859,0.449845033,HI,NO
"12, 5",Female,HI/NO,12,4.685627,34.1357,0,0.1496865,2.066186,0.1939284,8.800681,11.35041,99.34506,15.82151,28.57070174,0,2.82787,1.480763,0,44.09278,7.018939,1.415365,12.38053,1.137166667,1.566841864,0.29987259,0.38546756,0.63748806,0.951118228,0.440892854,HI,NO
"10, 2",Female,HI/NO,12,4.640718,38.9618,0,0.8333213,2.070814,0.114026,8.935887,11.90797,102.2807,15.8554,36.66465345,0,2.774265,1.723476,0,43.21692,7.121998,1.479732,12.91485,1.899083333,2.040315072,0.302683556,0.419539308,0.638258102,0.975799294,,HI,NO
"3, 7",Female,HI/NO,12,4.595809,35.19072,0,0.3107603,1.89116,0.159636,9.250043,10.73154,101.0265,15.75579,40.26368972,0,3.069708,1.650609,0,44.0192,7.347739,1.464359,13.30042,0.70375,1.38062845,0.183750274,0.390877646,0.659875456,0.868431345,,HI,NO
"9, 5",Female,NO/LO,13,1.472519,31.23986,4.761638856,0.4553897,2.015653,0.2017406,11.91566,14.73811,72.23681,16.47148,46.29329742,0,11.34476,4.401374,0.1807069,32.06581,5.660683,0.6308045,8.932477,0.96,2.047576091,0.299387885,0.3448561,0.46919468,0.943942877,0.223833829,NO,LO
"4, 8",Female,NO/LO,13,1.412123,33.05069,0,0.4203447,1.909761,0.2416881,9.983827,14.37062,73.40418,14.21336,31.49274875,0.013309494,5.619995,3.725247,8.229502,31.99625,5.493235,0.6774727,8.852471,0.817166667,2.193946127,0.338611474,0.386859436,0.612617841,0.901410993,0.217110289,NO,LO
